Intercept is on	拦截开启(on)
Click "Copy to clipboard" to generate Burp Collaborator payloads that you can use in your own testing. Any interactions that result from using the payloads will appear below.	单击“复制到剪贴板”以生成可以在自己的测试中使用的Burp协作器有效负载。使用有效载荷产生的任何交互都将显示在下面。
Generate Collaborator payloads	生成Collaborator有效载荷
Number to generate:	生成数:
Copy to clipboard	复制到剪贴板
Include Collaborator server location	包括Collaborator服务器位置
Poll Collaborator interactions	轮询协作者沟通
Poll every	轮询间隔(Poll every)
seconds	秒
Poll now	现在轮询(Poll now)
Are you sure you want to close this Burp Collaborator client? Any further interactions from its payloads will be lost.	您确定要关闭Burp Collaborator客户端吗？来自该payloads的后续通信将会丢失。
DNS query	DNS查询(DNS query)
Render	响应内容(Render)
Request to Collaborator	发送至Collaborator请求包
Response from Collaborator	来自Collaborator的响应包
Intercept responses based on the following rules:	根据以下规则拦截响应：
Automatically update Content-Length header when the request is edited	编辑请求时自动更新Content-Length(长度)标头
Intercept WebSockets Messages	拦截WebSocket消息
Intercept WebSockets messages	拦截WebSocket消息
These settings are used to perform automatic modification of responses.	这些设置用于自动修改响应
Unhide hidden form fields	强制显示隐藏表单字段(Unhide hidden form fields)
Prominently highlight unhidden fields	突出显示未隐藏的字段(Prominently highlight unhidden fields)
Enable disabled form fields	启用被禁用的表单字段(Enable disabled form fields)
Remove input field length limits	删除输入字段长度限制(Remove input field length limits)
Remove JavaScript form validation	删除JavaScript表单验证(Remove JavaScript form validation)
Remove all JavaScript	删除所有JavaScript(Remove all JavaScript)
Remove <object> tags	删除<object>标记(Remove <object> tags)
Convert HTTPS links to HTTP	将HTTPS链接转换为HTTP(Convert HTTPS links to HTTP)
Remove secure flag from cookies	从cookie中删除"安全"属性(Remove secure flag from cookies)
Load options	加载选项
Save options	保存选项
Intercept Server Responses	服务器响应拦截(Intercept Server Responses)
Use these settings to control which WebSockets messages are stalled for viewing and editing in the Intercept tab.	在拦截选项卡上停止并控制要显示和编辑的WebSocket消息。
Intercept client-to-server messages	拦截从客户端到服务器的消息
Intercept server-to-client messages	拦截从服务器到客户端的消息
Response Modification	响应操作(Response Modification)
Master interception is turned off     	主动代理拦截被关闭
Match and Replace	搜索和替换(Match and Replace)
These settings are used to automatically replace parts of requests and responses passing through the Proxy.	这些设置用于自动替换通过代理传递的部分请求和响应。
Request header	请求头(Request header)
Item	项目(Item)
Match	匹配条件(Match)
Replace	替换(Replace)
Add match/replace rule	添加搜索/替换规则(Add match/replace rule)
Specify the details of the form field completion rule.	请指定表单字段完成规则详细信息。
Regex condition to match - leave blank to add a new header	搜索条件(支持正则) - 为新标题添加留空
Literal string to replace - leave blank to remove a matched header	替换字符串(支持正则) - 如果要删除匹配的标题，请留空
Regex match	正则匹配(Regex match)
Request body	Request body(请求包的正文)
Response header	Response header(响应包的头)
Response body	Response body(响应包的body)
Request param name	Request param name(请求包的参数名称)
Request param value	Request param value(请求包的值)
Request first line	Request first line(请求头的第一行)
Type:	类型(Type):
Match:	匹配条件(Match):
Replace:	替换(Replace):
Path	路径(Path)
Request handling	请求处理(Request handling)
These settings control whether Burp redirects requests received by this listener.	控制监听器如何重定向收到的请求。
Redirect to host:	重定向目标主机(Redirect to host)：
Redirect to port:	重定向目标端口(Redirect to port)：
Force use of SSL	强制使用SSL(Force use of SSL)
Force use of TLS	强制使用TLS(Force use of TLS)
Support invisible proxying (enable only if needed)	支持隐形代理invisible proxying（仅在需要时启用）
These settings control the server SSL certificate that is presented to SSL clients.	控制提交给SSL客户端的SSL服务器证书。
These settings control the server TLS certificate that is presented to TLS clients.	控制提交给TLS客户端的TLS服务器证书。
Use a self-signed certificate	使用自签名证书
Generate CA-signed per-host certificates	生成每个主机签名per-host certificates的CA证书
Generate a CA-signed certificate with a specific hostname:	生成具有特定主机名specific hostname的CA签名证书：
Use a custom certificate (PKCS#12):	使用自定义证书(PKCS＃12):
Any header	任何标题(Any header)
Add response interception rule	添加响应监听规则(Add response interception rule)
Status code	状态码(Status code)
Content type header	内容类型标题(Content type header)
Mime type	MIME类型(Mime type)
Page title	页面标题(Page title)
Add SSL passthrough target	添加SSL传递的目标(Add SSL passthrough target)
Add TLS passthrough target	添加TLS传递的目标(Add TLS passthrough target)
Specify the host and port details for the target, or leave blank to match any item. An IP range can be specified instead of a hostname.	指定目标的主机和端口详细信息，或留空以匹配任何项。可以指定主机名(host)以及IP范围。
Port:	端口(Port)：
Enter regex, IP range or leave blank	输入正则表达式、IP范围、或将其留空
Enter regex or leave blank	输入正则表达式或将其留空
Automatically add entries on client SSL negotiation failure	在客户端SSL协商失败时自动添加条目(Automatically add entries on client SSL negotiation failure	)
Automatically add entries on client TLS negotiation failure	在客户端TLS协商失败时自动添加条目(Automatically add entries on client TLS negotiation failure	)
Use HTTP/1.0 in requests to server	使用HTTP / 1.0来请求服务器(Use HTTP/1.0 in requests to server)
Use HTTP/1.0 in responses to client	使用HTTP / 1.0响应客户端(Use HTTP/1.0 in requests to server)
Set "Connection close" on incoming requests	将“Connection close”设置为接收请求(Set "Connection close" on incoming requests)
Strip Proxy-* headers in incoming requests	从收到的请求中删除Proxy- *标头(Strip Proxy-* headers in incoming requests)
Remove unsupported encodings from Accept-Encoding headers in incoming requests	从已接收请求的Accept-Encoding标头中删除不受支持的编码(Remove unsupported encodings from Accept-Encoding headers in incoming requests)
Strip Sec-WebSocket-Extensions headers in incoming requests	从传入请求中删除Sec-WebSocket-Extensions标头(Strip Sec-WebSocket-Extensions headers in incoming requests)
Unpack gzip / deflate in requests	展开请求的gzip / deflate(Unpack gzip / deflate in requests)
Unpack gzip / deflate in responses	展开响应gzip / deflate(Unpack gzip / deflate in responses)
Disable web interface at http://burp	禁用http://burp的Web界面(Disable web interface at http://burp)
Suppress Burp error messages in browser	禁用浏览器的Burp错误消息(Suppress Burp error messages in browser)
Don't send items to Proxy history or live tasks	不要将项目发送到代理历史记录(Proxy history)或实时任务(live tasks)
Don't send items to Proxy history or live tasks, if out of scope	如果超出范围，请不要将项目发送到代理历史记录(Proxy history)或实时任务((live tasks)
These settings are used to specify destination web servers for which Burp will directly pass through SSL connections. No details about requests or responses made via these connections will be available in the Proxy intercept view or history.	指定目标Web服务器以直接传递SSL连接。这些连接生成的请求和响应的详细信息无法显示在代理拦截或历史记录中。
Miscellaneous	其他设置(Miscellaneous)
These settings control some specific details of Burp Proxy's behavior. You can change the default settings here to deal with particular problems or situations.	这是一个控制Burp Proxy详细操作的设置。您可以更改默认设置以解决特定问题和情况。
Paste	粘贴(Paste)
Clear	清除(Clear)
You can define one or more payload sets. The number of payload sets depends on the attack type defined in the Positions tab. Various payload types are available for each payload set, and each payload type can be customized in different ways.	您可以定义一个或多个有效负载集(payload sets)。有效负载集(payload sets)的数量取决于“位置(Positions)”选项卡中定义的攻击类型。每个有效负载集(payload sets)可以使用各种有效负载类型(payload type)，并且可以以各种方式定制每种有效负载类型(payload type)。
Payload set:	Payload集(Payload set)：
Payload type:	Payload类型(Payload type)：
Payload Set:	Payload集(Payload set)：
Payload Sets	Payload集(Payload set)
Payload count:	Payload数量(Payload count)：
Request count:	请求数量(Request count)：
Payload Processing	Payload处理(Payload Processing)
You can define rules to perform various processing tasks on each payload before it is used.	您可以定义在使用有效负载之前对每个有效负载(payload)执行各种处理任务(tasks)的规则。
Enter a new item	输入新项目(Enter a new item)
Add payload processing rule	添加payload处理规则(Add payload processing rule)
Enter the details of the payload processing rule.	请输入payload处理规则的详细信息(Enter the details of the payload processing rule.)
Select rule type	请选择规则类型(Select rule type)
Add suffix	添加后缀(Add suffix)
Match/replace	搜索/替换(Match/replace)
Substring	截取字符串(Substring)
Reverse substring	反向截取字符串(Reverse substring)
Modify case	Modify case
Encode	编码(Encode)
Decode	解码(Decode)
Add raw payload	添加原始payload(Add raw payload)
Skip if matches regex	Skip if matches regex(检查是否与正则表达式匹配，如果是则跳过payload以及继续下一个)
Select processor:	选择扩展(Select processor)：
Configure the positions where payloads will be inserted into the base request. The attack type determines the way in which payloads are assigned to payload positions - see help for full details.	配置将payloads插入基本请求的位置。攻击类型决定了payloads分配到哪个位置的方式-如果需要有关的详细信息，请参阅帮助。(Configure the positions where payloads will be inserted into the base request. The attack type determines the way in which payloads are assigned to payload positions - see help for full details.)
Payload Positions	payload位置(Payload Positions)
Attack type:	攻击类型(Attack type):
Sniper	狙击手-单个payload(Sniper)
Battering ram	撞击物-一组payload(Battering ram)
Pitchfork	交叉-多个payload集(Pitchfork)
Cluster bomb	集束炸弹-多个Payload集合(Clusterbomb)
Start attack	开始攻击(Start attack)
Payload Options	Payload选项(Payload Options)
This payload type lets you configure a simple list of strings that are used as payloads.	此处payload类型允许您配置用作payload的简单清单。(This payload type lets you configure a simple list of strings that are used as payloads)
Simple list	简单列表(Simple list)
Payload Options [Simple list]	Payload选项[简单列表]
Runtime file	指定文件(Runtime file)
Custom iterator	自定义迭代器(Custom iterator)
Configure the details of the target for the attack.	请设置攻击目标的详细信息。(Configure the details of the target for the attack.)
Use HTTPS	使用HTTPS(Use HTTPS)
([0-9]+) payload positions	配置 $1 个payload位置(payload positions)
Add §	添加payload位置 §(Add §)
Auto §	自动添加payload位置 §(Auto §)
Clear §	清除payload位置 §(Clear §)
Refresh	刷新(Refresh)
Payload Options [Runtime file]	payload选项[指定文件]
Payload Options [Custom iterator]	payload选项[自定义迭代器]
This payload type lets you configure a file from which to read payload strings at runtime.	您可以载入文件里的payload。
Payload Encoding	Payload编码(Payload Encoding)
This setting can be used to URL-encode selected characters within the final payload, for safe transmission within HTTP requests.	为了安全地发送HTTP请求，最终的payload将会对框框内容进行URL编码，如果不需要，可以取消勾勾。
URL-encode these characters:	URL编码这些字符(URL-encode these characters)：
These settings are used to specify destination web servers for which Burp will directly pass through SSL connections. No details about requests or responses made via these connections will be available in the Proxy intercept view or history.	这些设置用于指定Burp将直接通过SSL连接的目标web服务器。代理拦截视图或历史记录中不提供通过这些连接发出的请求或响应的详细信息。
These settings are used to specify destination web servers for which Burp will directly pass through TLS connections. No details about requests or responses made via these connections will be available in the Proxy intercept view or history.	这些设置用于指定Burp将直接通过TLS连接的目标web服务器。代理拦截视图或历史记录中不提供通过这些连接发出的请求或响应的详细信息。
Scan	扫描(Scan)
Do passive scan	被动扫描(Do passive scan)
Do active scan	主动扫描(Do active scan)
Send to (Comparer|Decoder|Intruder|Repeater|Sequencer|Spider|SQLMapper|Laudanum|reCAPTCHA)	发送给$1(Send to $1)
Request in browser	通过浏览器请求(Request in browser)
Engagement tools	相关工具(Engagement tools)
Change request method	修改请求方法(Change request method)
Change body encoding	修改body编码(Change body encoding)
Copy URL	复制网址(Copy URL)
Copy as curl command	复制curl命令(Copy as curl command)
Copy to file	复制到文件(Copy to file)
Paste from file	从文件粘贴(Paste from file)
Save item	保存项目(Save item)
Don't intercept requests	不拦截请求包(Don't intercept requests)
Don't intercept responses	不拦截响应包(Don't intercept responses)
Convert selection	转换所选内容(Convert selection)
URL-encode as you type	URL编码输入(URL-encode as you type)
Cut	剪贴(Cut)
Copy	复制(Copy)
Message editor documentation	消息编辑器文档(Message editor documentation)
Proxy interception documentation	代理拦截文档(Proxy interception documentation)
In original session	在原始会话(In original session)
In current browser session	在当前浏览器会话(In current browser session)
Find references	搜索references(Find references)
Discover content	内容搜索(Discover content)
Schedule task	安排任务(Schedule task)
Generate CSRF PoC	生成CSRF PoC(Generate CSRF PoC)
Response to this request	此请求的响应(Response to this request)
Do intercept	拦截(Do intercept)
To this IP address	这个IP地址(To this IP address)
To this host	这个host(To this host)
For this directory	这个目录(For this directory)
For this file extension	这个文件扩展名(For this file extension)
Construct string	构造字符串(Construct string)
URL-decode	URL解码(URL-decode)
URL-encode key characters	对特殊字符URL编码(URL-encode key characters)
URL-encode all characters	对所有字符URL编码(URL-encode all characters)
URL-encode all characters (Unicode)	对所有字符URL编码(Unicode)
HTML-decode	HTML解码(HTML-decode)
HTML-encode key characters	对特殊字符HTML编码(HTML-encode key characters)
HTML-encode all characters	对所有字符HTML编码(HTML-encode all characters)
HTML-encode all characters (hex entities)	HTML编码所有字符(请参阅十六进制)(HTML-encode all characters)
HTML-encode all characters (numeric entities)	HTML编码所有字符(请参阅十进制)(HTML-encode all characters)
Base64-encode	Base64编码(Base64-encode)
Base64-decode	Base64解码(Base64-decode)
Construct string in JavaScript	JavaScript字符串生成(Construct string in JavaScript)
Construct string in Microsoft SQL Server	Microsoft SQL Server字符串生成(Construct string in Microsoft SQL Server)
Construct string in MySQL	MySQL字符串生成(Construct string in MySQL)
Construct string in Oracle	Oracle字符串生成(Construct string in Oracle)
This payload type lets you configure multiple lists of items, and generate payloads using all permutations of items in the lists.	此payload类型允许您配置多个项目列表，并使用列表中所有项目的排列生成payloads。
Position:	位置:
Character substitution	字符替换(Character substitution)
Payload Options [Character substitution]	Payload选项[字符替换]
This payload type lets you configure a list of strings and apply various character substitutions to each item.	此payload类型允许您配置字符串列表并对每个项应用各种不同的字符替换。
Character substitutions	字符替换(Character substitutions)
Case sensitive match	区分大写和小写字母(Case sensitive match)
Case modification	大小写字母转换(Case modification)
Payload Options [Case modification]	Payload选项[大小写字母转换]
This payload type lets you configure a list of strings and apply various case modifications to each item.	此payload类型允许您配置字符串列表并对每个项应用各种大小写修改.
Case modifications	转换方法(Case modifications)
No change	不改变(No change)
To lower case	转换为小写(To lower case)
To upper case	转换为大写(To upper case)
To ProperName	To Propername
To Propername	To ProperName
Items	项目(Items)
Payload Options [Recursive grep]	Payload选项[递归匹配]
Recursive grep	递归匹配(Recursive grep)
This payload type lets you extract each payload from the response to the previous request in the attack. It is useful in some situations where you need to work recursively to extract useful data or deliver an exploit. Extract grep items can be defined in the Options tab.	此payload类型允许您从对攻击中的前一个请求的响应中提取每个有效负载。在某些需要递归工作以提取有用数据或提供利用漏洞的情况下，它非常有用。提取grep项可以在选项选项卡中定义。
Initial payload for first request:	第一个请求的初始payload(Initial payload for first request：
Stop if duplicate payload found	检测到重复有效负载时停止(Stop if duplicate payload found)
Illegal Unicode	非法的Unicode(Illegal Unicode)
Payload Options [Illegal Unicode]	Payload选项[非法的Unicode]
This payload type can be used to generate illegal Unicode representations of characters. It is sometimes effective in bypassing filters designed to block certain characters. See the full help for details of each option.	此payload类型可用于生成字符的非法Unicode表示形式。它有时可以有效地绕过设计用于阻止某些字符的过滤器。有关每个选项的详细信息，请参阅完整帮助。
Overlong UTF-8 encodings	过长的UTF-8编码(Overlong UTF-8 encodings)
Maximum length:	最大长度(Maximum length):
bytes	字节(bytes)
Illegal UTF-8 continuation bytes	非法的UTF-8连续字节(Illegal UTF-8 continuation bytes)
Do illegal UTF-8	非法的UTF-8(Do illegal UTF-8)
Maximize permutations in multi-byte encodings	多字节编码的最大组合(Maximize permutations in multi-byte encodings)
Illegal hex characters	非法的十六进制字符(Illegal hex characters)
Do illegal hex	非法的十六进制(Do illegal hex)
Hex formatting	十六进制格式(Hex formatting)
Use lower case alpha characters	使用小写字母字符(Use lower case alpha characters)
Add % prefix before each byte	在每个字节前添加％(Add % prefix before each byte)
Total encodings	总编码数(Total encodings)
Stop at maximum:	要停止的最大数量(Stop at maximum)：
Match / replace in list items	搜索和替换列表项(Match / replace in list items)
Match character:	搜索字符(Match character)：
Replace with encodings of:	要编码和替换的字符：
Character blocks	字符块(Character blocks)
Payload Options [Character blocks]	Payload选项[字符块]
This payload type generates payloads based on blocks of a specified character or string. It can be useful for detecting buffer overflows and exploiting some logic flaws.	根据指定的字符或字符串块生成payload。它对缓冲区溢出检测和逻辑流攻击很有用。
Base string:	原始字符串(Base string):
Min length:	最短长度(Min length):
Max length:	最大长度(Max length):
Step:	增量(Step)：
Numbers	数值(Numbers)
Payload Options [Numbers]	Payload选项[数值]
This payload type generates numeric payloads within a given range and in a specified format.	生成给定范围内指定格式的有效数值内容。
Number range	数字范围(Number range)
Sequential	连续的(Sequential)
Random	随机的(Random)
From:	从(From):
To:	到(To):
Step:	间隔(Step):
How many:	多少(How many)：
Number format	数值格式(Number format)
Base:	基础(Base)：
Decimal	十进制(Decimal)
Min integer digits:	整数部分的最小位数(Min integer digits)：
Max integer digits:	整数部分的最大位数(Max integer digits)：
Min fraction digits:	分数(小数)最小位数(Min fraction digits)：
Max fraction digits:	分数(小数)最大位数(Max fraction digits)：
Examples	例子(Examples)
This payload type lets you configure a list of strings and apply various case modifications to each item.	此payload类型允许您配置字符串列表并对每个项应用各种大小写修改。
Select the "extract grep" item from which to derive payloads:	选择“extract grep”项以获取payloads(Select the "extract grep" item from which to derive payloads)：
Estimated encodings:	预期编码数量(Estimated encodings)：
Payload Options [Dates]	Payload选项[日期]
Dates	日期(Dates)
This payload type generates date payloads within a given range and in a specified format.	生成给定范围内指定格式的日期有效内容的payload。
Format:	格式(Format):
January	1月(January)
December	12月(December)
February	2月(February)
March	3月(March)
April	4月(April)
May	5月(May)
July	7月(July)
June	6月(June)
August	8月(August)
September	9月(September)
October	10月(October)
November	11月(November)
Days	日(Days)
Weeks	周(Weeks)
Months	月(Months)
Years	年(Years)
Brute forcer	爆破(Brute forcer)
Payload Options [Brute forcer]	Payload选项[爆破]
This payload type generates payloads of specified lengths that contain all permutations of a specified character set.	从指定的长度和字符集生成所有组合的payload。
Character set:	字符集(Character set)：
Rule	规则(Rule)
Null payloads	Null payloads
Payload Options [Null payloads]	Payload选项[Null payloads]
This payload type generates payloads whose value is an empty string. With no payload markers configured, this can be used to repeatedly issue the base request unmodified.	它生成一个payload值为空的字符串。无需设置payload标记，可以在不更改基本请求的情况下重复发送。
Generate	生成(Generate)
Continue indefinitely	无限重复(Continue indefinitely)
Payload Options [Character frobber]	Payload选项[Character frobber]
Character frobber	字符frobber(Character frobber)
This payload type operates on a string input and modifies the value of each character position in turn. It is useful to quickly test which parts of a long string have an effect on the application's processing.	此payload类型对字符串输入进行操作，并依次修改每个字符位置的值。快速测试长字符串的哪些部分对应用程序的处理有影响是有用的。。
Operate on:	操作(Operate on)：
Base value of payload position	有效负载位置原始值(Base value of payload position)
Specific string:	特定字符串(Specific string):
Bit flipper	Bit翻转(Bit flipper)
Payload Options [Bit flipper]	payload选项[bit 翻转]
This payload type operates on an input and modifies the value of each bit position in turn. It can sometimes be used to meaningfully modify the decrypted values of CBC-encrypted data, and potentially interfere with application logic.	该Payload类型相对于输入值顺序地改变每个比特位置的值。在某些情况下，您可以对CBC加密数据进行有意义的更改，或者可能会干扰应用程序逻辑。
Format of original data:	原值格式(Format of original data)：
Literal value	文本值(Literal value)
Encoded as ASCII hex	编码成ASCII十六进制(Encoded as ASCII hex)
Select bits to flip:	选择要反转的bit(Select bits to flip)：
Username generator	用户名生成器(Username generator)
Payload Options [Username generator]	Payload选项[用户名生成器]
This payload type lets you configure a list of names or email addresses, and derives potential usernames from these using various common schemes. You can enter items as "firstname lastname" or "firstname.lastname@example.org".	这payload类型可以设置了一个名称和电子邮件地址列表，然后使用通用生成规则来生成各种潜在的用户名。例如：您可以输入带有“名字姓氏”或“名字姓氏@ example.org”的项目。
Maximum payloads per item:	每个项目的payloads数量(Maximum payloads per item)：
ECB block shuffler	ECB 加密块洗牌(ECB block shuffler	ECB Block Shuffle)
Payload Options [ECB block shuffler]	Payload选项[ECB 加密块洗牌]
This payload type can be used to shuffle blocks of ciphertext in ECB-encrypted data, so as to meaningfully modify the decrypted cleartext and potentially interfere with application logic. You can optionally supply a list of encrypted strings that use the same cipher and key, to provide additional blocks for shuffling into the original data.	这种payload类型可用于洗牌ECB加密数据中的密文块，以便有意义地修改解密的明文并可能干扰应用程序逻辑。您可以选择提供使用相同密码和密钥的加密字符串的列表，以提供附加块，以便重新洗牌到原始数据中。
Encrypted data to shuffle:	要加密的加密数据(Encrypted data to shuffle)：
Block size (usually 8 or 16):	块大小(Block size)（通常为8或16）：
Extension-generated	通过扩展生成(Extension-generated)
Payload Options [Extension-generated]	Payload选项[由扩展程序生成]
Selected generator:	选定的生成器(Selected generator):
[NOT SELECTED]	[未选中]
Select generator ...	选择生成器(Select generator)...
Copy other payload	复制其他payload(Copy other payload)
This payload type copies the value of the current payload at another payload position. It can be used with attack types that have multiple payload sets.	此payload类型将另一个payload的值复制到当前payload的值。它可以与使用多个payload集的攻击类型一起使用。
Copy from position:	来源位置(Copy from position)：
Request Headers	请求头(Request Headers)
These settings control whether Intruder updates the configured request headers during attacks.	控制Intruder是否在攻击期间更新已配置的请求头。
Update Content-Length	更新Content-Length头(Update Content-Length)
Set Connection: close	设置Connection: close(Set Connection: close)
Select payload generator	选择payload生成器(Select payload generator)
Select the extension-provided payload generator that you want to use. Burp extensions can be loaded using the Extender tool.	请从生成有效内容的扩展中选择要使用的那个。扩展器可以读取Burp扩展。
Extension payload generator:	扩展的有效载荷
No generators defined	生成器未定义。
Update Content-Length header	更新Content-Length头(Update Content-Length header)
Request Engine	请求引擎设置(Request Engine)
Number of threads:	线程数(Number of threads)：
Number of retries on network failure:	网络错误的重试次数(Number of retries on network failure)：
Pause before retry (milliseconds):	重试前暂停(Pause before retry)(ms)：
Throttle (milliseconds):	延迟(ms)(Throttle):
Fixed	固定延迟(Fixed)
Variable:  start	变化(Variable)：初始
step	增量(step)
Immediately	立刻(Immediately)
In	在(In)
minutes	分钟后(minutes)
These settings control the engine used for making HTTP requests when performing attacks.	控制在攻击执行期间用于创建HTTP请求的引擎。
Attack Results	攻击结果设置
These settings control what information is captured in attack results.	设置要在攻击结果中捕获的信息。
Store requests	保存请求(Store requests)
Store responses	保存回复(Store responses)
Make unmodified baseline request	生成未修改的基本请求(Make unmodified baseline request)
Use denial-of-service mode (no results)	使用拒绝服务模式(无结果)(Use denial-of-service mode (no results))
Store full payloads	保存所有payloads(Store full payloads)
Simple string	简单的字符串(Simple string)
These settings can be used to flag result items containing specified expressions.	这些设置可用于flag包含指定表达式的结果项。
Flag result items with responses matching these expressions:	将flag设置为与这些字符串匹配的响应(Flag result items with responses matching these expressions)：
These settings can be used to extract useful information from responses into the attack results table.	我们从响应包中提取有用信息并将其显示在攻击结果列表中。
Extract the following items from responses:	从响应包中提取以下项目：
Failed to retrieve response	无法得到回应包
The request has not yet been issued - click "Fetch response" to issue it	请求尚未发出-单击“获取响应”(Fetch response)以发出它
Define extract grep from response	从响应中定义提取的grep(Define extract grep from response)
Define the location of the item to be extracted. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	定义要提取的项目的位置。在响应面板中选择项目时，将自动创建相应的设置。您也可以手动更改设置以有效工作。
Define start and end	定义开始和结束(Define start and end)
Extract from regex group	从正则表达式组中提取(Extract from regex group)
Start after expression:	在表达式之后开始(Start after expression)：
Start at offset:	从偏移开始(Start at offset)：
End at delimiter:	以此分隔符结束(End at delimiter)：
End at fixed length:	以固定长度结束(End at fixed length)：
Exclude HTTP headers	排除HTTP头(Exclude HTTP headers)
Update config based on selection below	根据以下选择更新设置(Update config based on selection belo)
Fetch response	获取回复(Fetch response)
Duplicate	复制(Duplicate)
Maximum capture length:	提取的最大长度(Maximum capture length):
These settings can be used to flag result items containing reflections of the submitted payload.	这些设置可用于标记(flag)包含已提交payload的结果项。
Search responses for payload strings	搜索含有payload字符串的响应(Search responses for payload strings)
Match against pre-URL-encoded payloads	在URL编码之前匹配payloads(Match against pre-URL-encoded payloads)
Redirections	重定向(Redirections)
These settings control how Burp handles redirections when performing attacks.	控制执行攻击时如何处理重定向。
Follow redirection:	跟随重定向(Follow redirection):
Never	不要这样做(Never)
On-site only	只有当时同一个网站才跟随(On-site only)
In-scope items only	仅范围内的项目才跟随(In-scope items only)
Always	总是(Always)
Process cookies in redirections	在重定向期间处理cookie(Process cookies in redirections)
Add from list ...	从列表(list)中添加...
Add to scope	添加到scope(范围)
Send to Comparer (request)	发送给Comparer（请求request）
Send to Comparer (requests)	发送给Comparer（请求requests）
Send to Comparer (response)	发送给Comparer（响应response）
Send to Comparer (responses)	发送给Comparer（响应responses）
Show response in browser	在浏览器中显示响应(Show response in browser)
In current session	在当前会话中(In current session)
Show new history window	显示新的历史窗口(Show new history window)
Add comment	添加注释(Add comment)
Delete item	删除项目(Delete item)
Clear histories	清除历史(Clear histories)
Clear history	清除历史(Clear histories)
Copy link	复制链接(Copy link)
Copy links	复制链接(Copy link)
Proxy history documentation	代理历史记录文档(Proxy history documentation)
Restore original value	恢复原始值
Set severity	设定风险等级(Set severity)
Set confidence	设置信任级别(Set confidence)
Report issue	生成问题报告(Report issue)
Report issues	生成问题报告(Report issues)
Burp Scanner reporting wizard	Burp扫描仪报告向导
Choose the format for the report.	请选择报告格式。
Base64-encode requests and responses	使用Base64编码请求和响应包
Select the types of details to include in the report.	请选择要包含在报告中的详细信息。
Issue background	漏洞问题(Issue background)
Remediation background	修复方法(Remediation background)
References	参照(References)
Issue detail [where applicable]	漏洞问题详情(Issue detail)[如果适用]
Remediation detail [where applicable]	修复方法详情[适用时]
Vulnerability classifications [where applicable]	漏洞分类(Vulnerability classifications)[如果适用]
Report completed	报告已完成
Report size: ([,0-9]+) bytes	报告大小：$1字节
Select the types of issues to include in the report.	请选择要包含在报告中的问题。
Select all	全选(Select all)
Select none	取消(Select none)
Select how HTTP request messages should appear in the report.	请选择如何在报告上放置HTTP请求消息。
Select how HTTP response messages should appear in the report.	请选择如何在报告上放置HTTP响应消息。
Do not include requests	不包括请求(Do not include requests)
Include relevant extract	提取相关部分(Include relevant extract)
Include full requests	包括完整的请求包(Include full requests)
Include full responses	包括完整的响应包(Include full responses)
Limit to	限制(Limit to)
Do not include responses	不包含响应包(Do not include responses)
Select the file where the report will be saved.	请选择一个文件来保存报告。
Specify the title and structure to use in the report.	请输入报告的标题名称。
Report title	报告标题(Report title)
Issue organization	问题分配(organization)
Table of contents levels	内容级别(Table of contents levels)
Summary table	汇总表(Summary table)
Summary bar chart	摘要条形图(Summary bar chart)
Embed images within HTML (requires modern browser)	在HTML中嵌入图片（需要最新的浏览器）
By type	按类型(By type)
By severity	按等级(By severity)
By URL	按URL(By URL)
All issues	所有问题(All issues)
High, medium and low issues	高，中，低风险问题(High, medium and low issues)
High and medium issues	高，中风险问题(High and medium issues)
High issues	高风险问题(High issues)
No summary table	没有汇总表(No summary table)
Failed to open file	无法打开文件
Tabs	标签栏(Tabs)
Left/right split	左右分栏(Left/right split)
Show new site map window	在新窗口中显示站点地图(site map)
Site map documentation	站点地图的文档(Site map documentation)
Report issues for this host	生成此host主机问题的报告
Delete issues for this host	删除此host主机的问题
Compare site map	比较站点地图(Compare site map)
Compare site maps	比较站点地图(Compare site maps)
Configure target details	设定目标的详情(Configure target details)
Specify the details of the server to which the request will be sent.	请指定发送请求的服务器的详细信息。
Are you sure you want to delete the selected item?	您确定要删除所选项吗？
Are you sure you want to delete the selected items?	您确定要删除所选项吗？
Are you sure you want to delete all issues for the selected item?	您确定要删除所有的项目吗？
Passively scan this host	对这个host主机进行被动扫描
Actively scan this host	对这个host主机进行主动扫描
Expand branch	展开分支(Expand branch)
Expand requested items	展开请求的项目(Expand requested items)
Delete host	删除主机(Delete host)
Copy URLs in this host	将此主机的URL(Copy URLs in this host)
Copy links in this host	将此主机的链接(Copy links in this host)
Save selected items	保存所选项目(Save selected items)
View	查看(View)
Find comments	搜索注释(Find comments)
Find scripts	搜索scripts(Find scripts)
Analyze target	目标分析(Analyze target)
Simulate manual testing	模拟手动测试(Simulate manual testing)
Delete issue	删除问题(Delete issue)
Delete issues	删除问题(Delete issues)
Select Live Capture Request	选择实时捕获请求(Select Live Capture Request)
Send requests here from other tools to configure a live capture. Select the request to use, configure the other options below, then click "Start live capture".	从其他工具发送实时捕获设置请求。请选择要使用的请求，设置其他选项，然后单击“开始实时捕获”。
Start live capture	开始实时捕捉(Start live capture)
Token Location Within Response	令牌位置作出回应(Token Location Within Response)
